text,sentiment
ptn semoga yang retweet dan like lolos sbmptn,positif
soal tps pengetahuan dan pemahaman umum ppu utbk sbmptn pembahasannya besok ya kawa,netral
soal tka utbk sbmptn sosiologi pembahasannya menyusul ya sekarang dikerjain aja dulu,netral
mau bayar ukt atau pendaftaran kuliah tapi gak ada rekening bank mager ke atm dm yuk testi banyak fee terjangkau mbanking bni mandiri cv jasa utbk sbmptn snmptn undip uin jakarta iain tolong uny ub upn ui bayarin trusted unpad titip sbmpn upnvjkt transfer daftar uns,netral
allahuma sholli ala sayyidina muhammad wa ala ali sayyidina muhammad hasbunallah wanikmal wakil lolos utbk sbmptn,positif
pernah kenal yang seperti ini tapi kenyataannya ga lolos univ negri snmptn maupun sbmptn memang lebih banyak pengalaman perlombaan dan dikenal guru karena paling pintar,negatif
dia kan maudy ayunda kalo aku cuma maudy lolosin di sbmptn pil itu aja,netral
ini gue gaada semangat belajar buat mandiri apakah ini pertanda keterima di sbmptn,negatif
bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn,positif
haiii donee makasii yaa udah adain give awayyy semoga kamu lancar pas ngerjain utbk jawaban yg kamu jawab bener sesuai sama yang kamu pelajarin dapet skor utbk tinggi dan lolos sbmptn amin amin aminnn semangat yaa semoga rejeki kamu lancar trus dan dipermudah smuanya,positif
dengan izin allah bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn bismillah tanggal juni lulus sbmptn,positif
no offense but lolos uny jalur sbmptn pilihan satu dan lolos utul ugm actully sucks,negatif
giveaway hai krna aku udh nazar jd aku mau adain ga kecil an buat followers mutual akuuw saldo spay k untk or,netral
aamiin semangat senderr btw utbk juga percobaan keduaku semoga kita sama lolos sbmptn ya,positif
ptn bismillahh aku udah siap lolos sbmptn,positif
